49	1574.39	1587	58.49	57.16	4.811	4.26	6.3	0	365	2.2	31	85	48	0.8	1.08	68	0
53	1631.75	1644.75	53.112	51.125	5.58	5.011	7.32	0	353	2.21	33.05	85	48	0.8	0.94	68	0
56	1673.39	1677.88	64.04	53.026	5.961	5.501	7.3	0	347.81	2.29	32.26	85	48	0.8	1.23	68	0
58	1695.5	1698.5	51.417	51.69	7.54	7.3	7.31	0	345.3	2.23	29.72	85	48	0.8	0.89	68	0
59	1700.5	1711.5	50.91	51.33	4.96	4.45	5.7	0	347	2.21	31	85	48	0.8	0.88	68	0
65	1784	1791	47.58	51.13	4.912	4.071	6.068	0	351.7	2.191	29.69	85	48	0.8	0.79	68	0
66	1800	1800	50.3	55.48	5.225	4.822	6.216	0	326.436	2.234	33.361	85	48	0.8	0.86	68	0
67	1650	1666	68.06	54.56	6.4	5.65	8.76	0	375	2.169	31.113	86	60	0.8	1.11	58	0
68	1685	1694.5	62.56	57.223	6.1	5.67	8.4	0	380.46	2.1	33.79	86	60	0.8	0.9	58	0
69	1698	1706	62.02	56.317	5.5	4.8	7.5	0	377.65	2.1	35.76	86	60	0.8	0.88	58	0
71	1723	1737.5	57.212	51.34	5	4.9	6.5	0	353	2.22	25.293	86	60	0.8	0.69	58	0
72	1755.5	1763	63.095	51.94	4.6	3.9	5.8	0	367	2.13	33.46	86	60	0.8	0.92	58	0
75	1810	1817.5	52.79	53.69	4.87	4.58	6.28	0	347.41	2.15	33.013	86	60	0.8	0.52	58	0
77	1844.5	1850.5	64.68	54.05	5.4	4.59	6.9	0	362.77	2.15	33.4	86	60	0.8	0.98	58	0
78	1861	1875.5	58.36	51.68	5.2	4.51	6.9	0	367	2.15	33.1	86	60	0.8	0.74	58	0
80	1883	1891.5	62.47	49.64	4.25	4.1	5.6	0	369	2.19	35.628	86	60	0.8	0.9	58	0
81	1908	1921.5	59.61	45.63	3.64	3.9	4.58	0	358.25	2.2	31.8	86	60	0.8	0.79	58	0
82	1931	1966	51.86	44.29	4.62	4.715	5.7	0	354.16	2.154	31.136	86	60	0.8	0.49	58	0
83	1483.6	1508	76	39.652	5.4	5.75	7.54	0	371.935	2.089	28.321	95	60	0.8	1.26	50	0
84	1514	1526.38	70	38.28	6.48	6.4	10.2	0	349.87	2.076	31.694	95	60	0.8	1.09	50	0
85	1532	1547.7	68.84	38.95	6.2	6.27	10.2	0	371.533	2.102	27.635	95	60	0.8	1.05	50	0
86	1555	1565.38	70.6	36.01	4.29	4.74	7.34	0	327.405	2.231	24.57	95	60	0.8	1.1	50	0
87	1570.5	1574.5	78	38.29	5	5.725	8.6	0	378.53	2.053	29.26	95	60	0.8	1.31	50	0
88	1579.6	1595.3	68	33.86	4.824	5.011	8.7	0	346.12	2.16	24.92	95	60	0.8	1.03	50	0
89	1601.63	1621.68	64	35	4.534	4.906	8.7	0	351.73	2.048	30.22	95	60	0.8	0.91	50	0
90	1626.5	1636	70	36.25	5.24	6	10.3	0	363.34	2.097	27.708	95	60	0.8	1.09	50	0
91	1641	1650	72	36.64	4.928	5.65	10.063	0	362.17	2.079	29.051	95	60	0.8	1.14	50	0
92	1667	1689.88	69	32.9	4.46	5.4	8.39	0	348.5	2.115	26.72	95	60	0.8	1.06	50	0
93	1695.88	1699.88	74	29.652	4.215	4.858	8.1	0	368.672	2.249	25.18	95	60	0.8	1.2	50	0
94	1699.88	1709.38	57	30.372	4.413	3.61	9	0	358.796	2.1	25.18	95	60	0.8	0.71	50	0
95	1724.5	1730.5	51.37	29.163	3.744	3.465	6.19	0	354.795	2.116	25.146	95	60	0.8	0.55	50	0
96	1739.38	1744	70	29.703	4.38	5.821	8.4	0	340.9	2.17	29.86	95	60	0.8	1.09	50	0
97	1749.8	1756	70	26.503	4.11	4.547	8.2	0	342.464	2.172	26.97	95	60	0.8	1.09	50	0
98	1760.88	1830	65	22.217	4.6	6.64	9.574	0	340.448	2.127	26.058	95	60	0.8	0.94	50	0
99	1524.25	1540.63	63	64.67	5.66	5.13	7	0	359.82	2.08	31.29	92	55	0.8	1.02	58	0
100	1544.75	1550.75	67	62	5.06	4.7	6.5	0	367.48	2.05	32.207	92	55	0.8	1.12	58	0
101	1559	1573.63	60	63.6187	5.852	4.822	7.4	0	364.379	2.072	35.58	92	55	0.8	0.94	58	0
102	1583.63	1589.5	62	57.17	4.09	3.73	5	0	345.66	2.14	29.658	92	55	0.8	0.99	58	0
103	1616.38	1621	60	54.78	3.81	3.4	4.7	0	348	2.117	32.48	92	55	0.8	0.94	58	0
104	1627.23	1647.75	60	32.34	4.9	4.089	5.9	0	361.24	2.091	34.61	92	55	0.8	0.94	58	0
105	1652	1672	60	62.48	5	4.268	6	0	354.36	2.07	33.11	92	55	0.8	0.94	58	0
106	1679.75	1682.5	60	62.48	4.86	4.2	6	0	360.36	2.05	34.92	92	55	0.8	0.94	58	0
107	1692.88	1715.88	57	59.16	4	3.5	4.768	0	360	2.069	35.315	92	55	0.8	0.85	58	0
108	1724.35	1730.75	57	58.88	4.33	3.7	5.4	0	358.64	2.098	33.081	92	55	0.8	0.85	58	0
109	1754	1770.25	63	54.74	3.35	3	4.1	0	345.72	2.148	31.812	92	55	0.8	1.02	58	0
110	1775.8	1783.5	61	52.183	3.8	3.436	4.3	0	353.88	2.1	32.687	92	55	0.8	0.96	58	0
111	1538	1563.8	64.918	45.37	7.4	5.37	7.13	0	377	2.12	34.808	95	60	0.8	0.94	58	0
112	1574.8	1582	63.98	42.8	7.74	5.54	7.6	0	375.75	2.09	37.31	95	60	0.8	0.91	58	0
113	1590.5	1603.75	58.188	42.317	6.902	5.202	6.6	0	374.43	2.091	34.86	95	60	0.8	0.75	58	0
114	1605.88	1622.88	66.609	43.364	5.659	4.505	5.56	0	352.68	2.17	33.54	95	60	0.8	0.99	58	0
115	1630	1635.5	66	43.68	5.7	4.48	5.6	0	380.87	2.09	35.305	95	60	0.8	0.97	58	0
116	1657.85	1699.38	60.617	41.751	5.294	4.356	5.222	0	382.62	2.092	35.654	95	60	0.8	0.82	58	0
117	1705.88	1710.25	59.37	41.318	5.232	4.312	5.417	0	380.93	2.124	32.113	95	60	0.8	0.78	58	0
118	1714	1718.13	61.54	39.97	4.91	4.108	5	0	368.06	2.124	32.113	95	60	0.8	0.84	58	0
119	1727.63	1758.13	64	38.655	4.996	4.254	5	0	377.87	2.11	36.107	95	60	0.8	0.91	58	0
120	1763.25	1775.38	65	37.68	5.29	4.58	5.5	0	372.56	2.114	33.809	95	60	0.8	0.94	58	0
121	1819.88	1828.5	68	29.95	3.62	3.41	3.69	0	380.5	2.099	37.171	95	60	0.8	1.03	58	0
123	1524.5	1529.5	73	70.1	7.5	6.13	7.3	0	335	2.118	28.31	100	64	0.8	1.05	68	0
124	1543.2	1545.1	64.9	66.54	6.1	3.93	8.4	0	354	2.22	24.931	100	64	0.8	0.83	68	0
125	1546.1	1550.9	64.9	66.54	6.1	3.93	8.4	0	354	2.22	24.931	100	64	0.8	0.83	68	0
129	1590.9	1601	57.68	69.65	4.7	4.732	6.6	0	361	2.18	29.1	100	64	0.8	0.62	68	0
133	1639.5	1655	69.3	60.51	6.7	8.7	9	0	323	2.31	31.2	100	64	0.8	0.95	68	0
135	1661.1	1667.8	60.88	60.33	5.9	6.3	8	0	346	2.15	28.53	100	64	0.8	0.71	68	0
141	1710.4	1722.7	62	66	3.78	4.95	4.6	0	370	2.15	30.543	100	64	0.8	0.74	68	0
143	1730.73	1732.5	63	63	5	5.79	6.3	0	355	2.25	26.89	100	64	0.8	0.77	68	0
145	1754.5	1762	61	53	5.4	8.1	6.7	0	340	2.25	26.246	100	64	0.8	0.72	68	0
147	1773.7	1785.8	64	58.972	5.47	6.4	7.6	0	343	2.23	25.902	100	64	0.8	0.8	68	0
154	1624.95	1630.4	53.238	59.192	6.624	4.69	7.3	0	385.436	2.106	28.768	100	52	0.8	0.83	60	0
155	1635.5	1642.25	57.93	55.594	4.88	3.7	5.5	0	377.18	2.138	28.71	100	52	0.8	0.92	60	0
156	1648.13	1653.5	63.25	53.298	3.915	3.18	4.5	0	362.68	2.187	27.237	100	52	0.8	1.03	60	0
157	1663.63	1666.38	65.863	53.38	3.477	2.94	3.9	0	381.25	2.172	29.325	100	52	0.8	1.09	60	0
161	1703.1	1730.13	51.641	57	5.82	4.59	6.542	0	385.25	2.106	28.792	100	52	0.8	0.79	60	0
162	1734.15	1742.5	58.35	55.18	5.036	4.027	5.2	0	373.87	2.109	27.659	100	52	0.8	0.93	60	0
163	1747.63	1752.75	54.91	55.87	5.395	4.184	5.8	0	375.25	2.113	29.989	100	52	0.8	0.86	60	0
