dept	gr	sp	cal	lld	msfl	lls	hac	den	cnl	rmn	rmg
1367.5	136.091	68.127	22.551	2.436	3.156	2.287	341.894	2.399	30.829	2.077	2.405
1367.625	131.506	68.126	22.476	2.494	2.984	2.379	377.93	2.375	31.993	1.821	1.771
1367.75	125.715	68.127	22.394	2.4	3.071	2.441	339.824	2.363	32.315	1.821	1.892
1367.875	124.603	68.134	22.381	2.237	3.182	2.326	327.118	2.372	32.5	1.821	2.012
1368	125.884	68.156	22.384	2.321	3.147	2.427	338.548	2.387	32.592	1.906	1.922
1368.125	126.938	68.18	22.361	2.396	3.155	2.562	345.293	2.381	32.893	1.992	1.952
1368.25	126.484	68.223	22.281	2.412	3.143	2.655	337.923	2.353	34.136	1.949	1.952
1368.375	126.325	68.244	22.222	2.424	3.149	2.69	334.267	2.341	36.19	1.906	1.892
1368.5	127.888	68.244	22.162	2.473	3.134	2.743	358.655	2.346	38.997	1.863	1.831
1368.625	129.908	68.212	22.165	2.466	3.055	2.75	352.126	2.359	38.953	1.863	1.831
1368.75	132.063	68.115	22.259	2.538	3.182	2.812	305.147	2.368	36.214	2.12	2.073
1368.875	130.933	68.031	22.341	2.584	3.154	2.833	300.683	2.362	33.175	2.035	2.012
1369	127.404	67.898	22.387	2.576	3.381	2.768	319.165	2.352	30.775	1.949	1.892
1369.125	125.832	67.818	22.365	2.452	3.148	2.614	362.189	2.351	30.807	1.863	1.831
1369.25	126.741	67.677	22.264	2.247	2.988	2.34	394.157	2.354	31.291	1.778	1.801
1369.375	128.015	67.63	22.217	2.027	3.025	2.102	375.441	2.364	31.348	1.65	1.741
1369.5	125.822	67.198	22.32	1.667	3.045	1.728	303.646	2.41	30.862	1.564	1.771
1369.625	119.703	66.642	22.463	1.772	3.136	1.838	309.312	2.462	29.929	1.65	1.771
1369.75	106.182	65.401	22.775	2.583	3.06401	2.686	349.797	2.522	27.28	3.78801	3.49301
1369.875	97.75	64.372	22.971	3.288	7.78102	3.377	256.631	2.542	25.697	8.36501	8.44901
1370	89.561	62.739	23.174	4.597	8.38399	4.512	241.48	2.54	24.306	9.26399	9.44599
1370.125	87.651	61.684	23.263	5.537	5.84	5.262	260.19	2.522	23.339	7.467	7.331
1370.25	86.263	60.309	23.31	6.56	7.16699	6.266	291.009	2.49	21.517	5.92699	6.57499
1370.375	84.211	59.638	23.315	6.461	4.715	6.387	293.716	2.474	20.37	5.243	4.792
1370.5	80.229	59.113	23.307	6.69	6.75501	6.647	252.462	2.484	19.931	9.178	8.84201
1370.625	78.997	59.093	23.296	7.081	9.77299	6.962	253.191	2.494	20.35	9.991	10.443
