dept	den	cnl
1817	2.57613	29.8259
1817.125	2.57575	28.7492
1817.25	2.58265	27.0583
1817.375	2.59467	24.9551
1817.5	2.60579	22.7519
1817.625	2.611	20.8487
1817.75	2.61009	19.5091
1817.875	2.60317	19.3662
1818	2.59339	20.8453
1818.125	2.57043	23.9426
1818.25	2.56593	27.8346
1818.375	2.569	31.2587
1818.5	2.571	33.4895
1818.625	2.57295	34.2139
1818.75	2.57596	32.9159
1818.875	2.57997	30.9167
1819	2.58495	29.4054
1819.125	2.59296	28.7979
1819.25	2.60099	29.0971
1819.375	2.60501	29.9024
1819.5	2.599	28.3006
1819.625	2.592	26.799
1819.75	2.58099	24.7976
1819.875	2.574	23.6029
1820	2.57298	24.3063
1820.125	2.571	25.9109
1820.25	2.56697	27.5101
1820.375	2.562	28.808
1820.5	2.56	29.7093
1820.625	2.56211	30.4053
1820.75	2.56706	30.7059
1820.875	2.569	30.9
1821	2.568	31
1821.125	2.56492	31.2079
1821.25	2.56183	31.917
1821.375	2.55691	32.9274
1821.5	2.5519	34.1294
1821.625	2.55	35.1313
1821.75	2.55122	35.9221
1821.875	2.55723	36.2766
1822	2.565	35.7753
1822.125	2.563	34.861
1822.25	2.563	33.3455
1822.375	2.564	31.4286
1822.5	2.56615	29.7553
1822.625	2.57116	28.6844
1822.75	2.57416	28.5162
1822.875	2.57817	28.9168
1823	2.58317	29.0175
1823.125	2.58818	28.3275
1823.25	2.59338	26.4874
1823.375	2.59861	24.0418
1823.5	2.5892	22.9599
1823.625	2.55393	23.762
1823.75	2.51065	24.9853
1823.875	2.47934	26.3879
1824	2.47023	27.8904
1824.125	2.47546	29.393
1824.25	2.48448	30.8955
1824.375	2.50223	32.0736
1824.5	2.53327	32.7252
1824.625	2.57158	32.9516
1824.75	2.60341	33.4265
1824.875	2.57965	33.6271
1825	2.574	34.3277
1825.125	2.57428	34.6
1825.25	2.57171	34.342
1825.375	2.56341	33.4407
1825.5	2.553	32.4394
1825.625	2.55169	31.6381
1825.75	2.56195	30.6368
1825.875	2.57961	29.5033
1826	2.593	28.7
1826.125	2.59333	28.667
1826.25	2.58566	29.5683
1826.375	2.58835	30.0348
1826.5	2.59135	30.3354
1826.625	2.59164	30.6361
1826.75	2.589	31.0367
1826.875	2.58737	31.2253
1827	2.59238	30.424
1827.125	2.60077	28.2682
1827.25	2.59961	25.4251
1827.375	2.5894	23.6399
1827.5	2.57659	24.0217
1827.625	2.57341	25.5236
1827.75	2.57742	26.6255
1827.875	2.57758	27.285
1828	2.575	28.1294
1828.125	2.573	29.375
1828.25	2.57544	30.7444
1828.375	2.57845	31
1828.5	2.57454	29.1259
1828.625	2.573	26.5757
1828.75	2.57888	24.5591
1828.875	2.5929	23.3572
1829	2.60993	22.207
1829.125	2.62247	20.2556
1829.25	2.6275	17.9028
1829.375	2.6265	16.249
1829.5	2.62098	15.8019
1829.625	2.61348	16.758
1829.75	2.608	18.6612
1829.875	2.60947	20.7173
1830	2.60293	23.2747
1830.125	2.59846	25.7791
1830.25	2.597	28.274
1830.375	2.59745	30.3109
1830.5	2.59388	31.4878
1830.625	2.58743	30.7866
1830.75	2.585	29.1559
1830.875	2.58558	26.852
1831	2.58959	24.9414
1831.125	2.594	24.5964
1831.25	2.595	26.8996
1831.375	2.59239	28.2817
1831.5	2.58778	29.2836
1831.625	2.58076	30.3237
1831.75	2.57138	31.3249
1831.875	2.56537	32.1631
1832	2.562	32.5
1832.125	2.562	32.2356
1832.25	2.56135	31.8
1832.375	2.559	31.7313
1832.5	2.559	32.3989
1832.625	2.55967	33.5008
1832.75	2.56368	34.4352
1832.875	2.56968	34.7
1833	2.57569	34.3311
1833.125	2.5817	33.6915
1833.25	2.587	32.5896
1833.375	2.588	31.3169
1833.5	2.58429	29.5429
1833.625	2.582	27.4677
1833.75	2.582	25.3365
1833.875	2.582	23.6
1834	2.582	23.5219
1834.125	2.581	24.8984
1834.25	2.58025	26.501
1834.375	2.577	27.6518
1834.5	2.574	28.2
1834.625	2.57223	28.0228
1834.75	2.571	27.3444
1834.875	2.573	26.5431
1835	2.57858	25.6418
1835.125	2.5812	24.7406
1835.25	2.576	24.1
1835.375	2.57619	24.381
1835.5	2.56937	24.6816
1835.625	2.56218	25.0823
1835.75	2.56	25.8488
1835.875	2.56284	27.1342
1836	2.56784	28.7526
1836.125	2.57185	29.9848
1836.25	2.572	29.8145
